travelCode,userCode_x_x,name_x,place,days,hotel_perday,hotel_total,date_x,from,to,flightType,flight_cost,time,distance,agency,company,gender,age,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,price,totalDistance,fuelPolicy,bookingStatus,Total_car_price
79081,768,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,02/20/2020,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,Wonka Company,none,64,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79082,768,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/27/2020,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,Wonka Company,none,64,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79089,768,Hotel AF,Sao Paulo (SP),2,139.1,278.2,04/16/2020,Aracaju (SE),Sao Paulo (SP),economic,410.79,1.02,392.76,CloudFy,Wonka Company,none,64,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79091,768,Hotel AU,Recife (PE),3,312.83,938.49,04/30/2020,Natal (RN),Recife (PE),firstClass,744.11,0.58,222.67,CloudFy,Wonka Company,none,64,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79102,769,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,10/17/2019,Aracaju (SE),Rio de Janeiro (RJ),premium,1007.72,1.55,597.61,CloudFy,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79104,769,Hotel BD,Natal (RN),4,242.88,971.52,10/31/2019,Sao Paulo (SP),Natal (RN),economic,488.57,0.85,327.55,CloudFy,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79117,769,Hotel K,Salvador (BH),3,263.41,790.23,01/30/2020,Sao Paulo (SP),Salvador (BH),firstClass,1400.35,1.04,401.66,Rainbow,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79125,769,Hotel A,Florianopolis (SC),3,313.02,939.06,03/26/2020,Aracaju (SE),Florianopolis (SC),economic,869.13,2.1,808.85,CloudFy,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79127,769,Hotel AU,Recife (PE),3,312.83,938.49,04/09/2020,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,Wonka Company,female,50,West Catherinebury,Pageport,SUV,Avis,2.0,383.65,372.0,Partial,Pending,577.6
79129,769,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,04/23/2020,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,1.55,597.61,FlyingDrops,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79130,769,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/30/2020,Sao Paulo (SP),Campo Grande (MS),premium,447.53,0.44,168.22,CloudFy,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79137,769,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,06/18/2020,Natal (RN),Rio de Janeiro (RJ),firstClass,1391.6,1.55,595.03,CloudFy,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79145,769,Hotel AF,Sao Paulo (SP),3,139.1,417.3,08/13/2020,Natal (RN),Sao Paulo (SP),economic,623.33,0.85,327.55,CloudFy,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79150,769,Hotel BP,Brasilia (DF),2,247.62,495.24,09/17/2020,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,Wonka Company,female,50,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79153,770,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,10/03/2019,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,1.55,597.61,FlyingDrops,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79154,770,Hotel BD,Natal (RN),4,242.88,971.52,10/10/2019,Sao Paulo (SP),Natal (RN),firstClass,932.87,0.85,327.55,Rainbow,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79159,770,Hotel BD,Natal (RN),3,242.88,728.64,11/14/2019,Sao Paulo (SP),Natal (RN),firstClass,943.18,0.85,327.55,FlyingDrops,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79161,770,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019,Sao Paulo (SP),Florianopolis (SC),economic,908.17,1.46,562.14,Rainbow,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79164,770,Hotel BP,Brasilia (DF),4,247.62,990.48,12/19/2019,Aracaju (SE),Brasilia (DF),economic,472.72,1.11,425.98,CloudFy,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79176,770,Hotel A,Florianopolis (SC),1,313.02,313.02,03/12/2020,Sao Paulo (SP),Florianopolis (SC),economic,908.17,1.46,562.14,Rainbow,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79179,770,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,04/02/2020,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79187,770,Hotel A,Florianopolis (SC),1,313.02,313.02,05/28/2020,Aracaju (SE),Florianopolis (SC),economic,852.18,2.1,808.85,Rainbow,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79189,770,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/11/2020,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79197,770,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/06/2020,Natal (RN),Florianopolis (SC),economic,884.4,1.84,709.37,Rainbow,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79201,770,Hotel A,Florianopolis (SC),2,313.02,626.04,09/03/2020,Natal (RN),Florianopolis (SC),economic,884.4,1.84,709.37,Rainbow,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79202,770,Hotel AF,Sao Paulo (SP),4,139.1,556.4,09/10/2020,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79204,770,Hotel K,Salvador (BH),1,263.41,263.41,09/24/2020,Natal (RN),Salvador (BH),firstClass,1747.31,1.85,710.57,CloudFy,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79205,770,Hotel AU,Recife (PE),1,312.83,312.83,10/01/2020,Sao Paulo (SP),Recife (PE),premium,1145.72,1.26,486.52,Rainbow,Wonka Company,female,51,Nguyenfort,Houseburgh,Sedan,Avis,1.0,180.14,476.0,Partial,Confirmed,500.79999999999995
79205,770,Hotel AU,Recife (PE),1,312.83,312.83,10/01/2020,Sao Paulo (SP),Recife (PE),premium,1145.72,1.26,486.52,Rainbow,Wonka Company,female,51,Michaelport,West Christopherton,Luxury,Avis,1.0,135.57,352.0,Partial,Cancelled,451.6
79211,770,Hotel BW,Campo Grande (MS),1,60.39,60.39,11/12/2020,Sao Paulo (SP),Campo Grande (MS),firstClass,668.19,0.44,168.22,FlyingDrops,Wonka Company,female,51,Jimenezfort,Arthurland,Luxury,Enterprise,4.0,305.53,153.0,Full-to-Full,Confirmed,802.4
79214,770,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/03/2020,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79216,770,Hotel BP,Brasilia (DF),2,247.62,495.24,12/17/2020,Sao Paulo (SP),Brasilia (DF),firstClass,727.31,0.67,257.81,FlyingDrops,Wonka Company,female,51,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79224,771,Hotel BP,Brasilia (DF),2,247.62,495.24,10/24/2019,Sao Paulo (SP),Brasilia (DF),premium,586.06,0.67,257.81,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79228,771,Hotel AF,Sao Paulo (SP),4,139.1,556.4,11/21/2019,Natal (RN),Sao Paulo (SP),premium,863.8,0.85,327.55,CloudFy,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79229,771,Hotel K,Salvador (BH),1,263.41,263.41,11/28/2019,Sao Paulo (SP),Salvador (BH),firstClass,1400.35,1.04,401.66,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79230,771,Hotel BD,Natal (RN),4,242.88,971.52,12/05/2019,Aracaju (SE),Natal (RN),economic,332.1,0.46,176.33,CloudFy,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79231,771,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/12/2019,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79235,771,Hotel BD,Natal (RN),1,242.88,242.88,01/09/2020,Sao Paulo (SP),Natal (RN),firstClass,946.36,0.85,327.55,CloudFy,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79237,771,Hotel AU,Recife (PE),3,312.83,938.49,01/23/2020,Sao Paulo (SP),Recife (PE),economic,827.12,1.26,486.52,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79240,771,Hotel BW,Campo Grande (MS),3,60.39,181.17,02/13/2020,Sao Paulo (SP),Campo Grande (MS),firstClass,595.09,0.44,168.22,Rainbow,Wonka Company,none,53,Melissaport,East Donnatown,SUV,Avis,2.0,362.56,497.0,Partial,Cancelled,677.5999999999999
79242,771,Hotel K,Salvador (BH),4,263.41,1053.64,02/27/2020,Natal (RN),Salvador (BH),firstClass,1744.87,1.85,710.57,FlyingDrops,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79243,771,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,03/05/2020,Aracaju (SE),Rio de Janeiro (RJ),premium,1007.72,1.55,597.61,CloudFy,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79249,771,Hotel AU,Recife (PE),3,312.83,938.49,04/16/2020,Natal (RN),Recife (PE),premium,579.62,0.58,222.67,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79251,771,Hotel BP,Brasilia (DF),2,247.62,495.24,04/30/2020,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79255,771,Hotel AU,Recife (PE),2,312.83,625.66,05/28/2020,Sao Paulo (SP),Recife (PE),firstClass,1573.5,1.26,486.52,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79256,771,Hotel Z,Aracaju (SE),4,208.04,832.16,06/04/2020,Sao Paulo (SP),Aracaju (SE),economic,647.9,1.02,392.76,Rainbow,Wonka Company,none,53,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79258,772,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,10/03/2019,Sao Paulo (SP),Rio de Janeiro (RJ),economic,625.5,0.86,331.89,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79259,772,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,10/10/2019,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,1.55,597.61,FlyingDrops,Wonka Company,none,41,New Kristamouth,North Brian,Luxury,Avis,3.0,165.66,187.0,Full-to-Full,Confirmed,659.6
79260,772,Hotel BW,Campo Grande (MS),1,60.39,60.39,10/17/2019,Sao Paulo (SP),Campo Grande (MS),premium,438.74,0.44,168.22,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79262,772,Hotel AU,Recife (PE),1,312.83,312.83,10/31/2019,Sao Paulo (SP),Recife (PE),firstClass,1573.5,1.26,486.52,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79265,772,Hotel BW,Campo Grande (MS),1,60.39,60.39,11/21/2019,Sao Paulo (SP),Campo Grande (MS),firstClass,595.09,0.44,168.22,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79267,772,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/05/2019,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79268,772,Hotel AU,Recife (PE),2,312.83,625.66,12/12/2019,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79270,772,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/26/2019,Natal (RN),Sao Paulo (SP),economic,623.33,0.85,327.55,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79281,772,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/12/2020,Natal (RN),Florianopolis (SC),economic,884.4,1.84,709.37,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79284,772,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,04/02/2020,Aracaju (SE),Rio de Janeiro (RJ),premium,930.12,1.55,597.61,Rainbow,Wonka Company,none,41,South Brittany,Whitakerland,SUV,Sixt,2.0,328.74,291.0,Partial,Confirmed,512.8
79286,772,Hotel BP,Brasilia (DF),4,247.62,990.48,04/16/2020,Aracaju (SE),Brasilia (DF),economic,548.62,1.11,425.98,Rainbow,Wonka Company,none,41,Karenchester,North James,Hatchback,Hertz,5.0,954.44,73.0,Partial,Confirmed,558.4
79289,772,Hotel Z,Aracaju (SE),3,208.04,624.12,05/07/2020,Natal (RN),Aracaju (SE),premium,451.41,0.46,176.33,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79294,772,Hotel Z,Aracaju (SE),3,208.04,624.12,06/11/2020,Sao Paulo (SP),Aracaju (SE),economic,647.9,1.02,392.76,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79296,772,Hotel BW,Campo Grande (MS),4,60.39,241.56,06/25/2020,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79303,772,Hotel BW,Campo Grande (MS),1,60.39,60.39,08/13/2020,Natal (RN),Campo Grande (MS),firstClass,979.56,0.65,250.68,FlyingDrops,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79305,772,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/27/2020,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79308,772,Hotel BW,Campo Grande (MS),2,60.39,120.78,09/17/2020,Natal (RN),Campo Grande (MS),economic,470.16,0.65,250.68,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79309,772,Hotel A,Florianopolis (SC),3,313.02,939.06,09/24/2020,Sao Paulo (SP),Florianopolis (SC),premium,1367.6,1.46,562.14,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79322,772,Hotel BD,Natal (RN),3,242.88,728.64,12/24/2020,Sao Paulo (SP),Natal (RN),firstClass,932.87,0.85,327.55,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79323,772,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/31/2020,Natal (RN),Campo Grande (MS),economic,470.16,0.65,250.68,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79324,772,Hotel AU,Recife (PE),2,312.83,625.66,01/07/2021,Sao Paulo (SP),Recife (PE),firstClass,1533.42,1.26,486.52,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79325,772,Hotel BD,Natal (RN),1,242.88,242.88,01/14/2021,Sao Paulo (SP),Natal (RN),firstClass,932.87,0.85,327.55,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79327,772,Hotel AU,Recife (PE),1,312.83,312.83,01/28/2021,Sao Paulo (SP),Recife (PE),economic,827.12,1.26,486.52,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79335,772,Hotel AU,Recife (PE),4,312.83,1251.32,03/25/2021,Natal (RN),Recife (PE),premium,579.62,0.58,222.67,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79338,772,Hotel K,Salvador (BH),1,263.41,263.41,04/15/2021,Natal (RN),Salvador (BH),firstClass,1747.31,1.85,710.57,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79350,772,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,07/08/2021,Sao Paulo (SP),Rio de Janeiro (RJ),economic,593.13,0.86,331.89,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79351,772,Hotel BW,Campo Grande (MS),4,60.39,241.56,07/15/2021,Sao Paulo (SP),Campo Grande (MS),premium,438.74,0.44,168.22,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79362,772,Hotel A,Florianopolis (SC),2,313.02,626.04,09/30/2021,Sao Paulo (SP),Florianopolis (SC),firstClass,1718.28,1.46,562.14,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79363,772,Hotel BP,Brasilia (DF),1,247.62,247.62,10/07/2021,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,Wonka Company,none,41,New John,Port Patriciafort,Hatchback,Enterprise,5.0,386.58,197.0,Full-to-Full,Cancelled,657.6
79366,772,Hotel BP,Brasilia (DF),3,247.62,742.86,10/28/2021,Natal (RN),Brasilia (DF),premium,898.46,1.43,550.69,CloudFy,Wonka Company,none,41,Portershire,Margaretchester,Hatchback,Hertz,4.0,794.27,259.0,Full-to-Full,Cancelled,607.2
79368,772,Hotel BD,Natal (RN),3,242.88,728.64,11/11/2021,Sao Paulo (SP),Natal (RN),premium,701.29,0.85,327.55,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79369,772,Hotel A,Florianopolis (SC),2,313.02,626.04,11/18/2021,Natal (RN),Florianopolis (SC),economic,873.07,1.84,709.37,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79370,772,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/25/2021,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79384,772,Hotel BP,Brasilia (DF),3,247.62,742.86,03/03/2022,Sao Paulo (SP),Brasilia (DF),firstClass,824.31,0.67,257.81,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79392,772,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/28/2022,Natal (RN),Florianopolis (SC),firstClass,1540.6,1.84,709.37,FlyingDrops,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79393,772,Hotel K,Salvador (BH),3,263.41,790.23,05/05/2022,Sao Paulo (SP),Salvador (BH),firstClass,1427.22,1.04,401.66,FlyingDrops,Wonka Company,none,41,Burnsfurt,North Sheilaport,Luxury,Budget,2.0,260.87,404.0,Partial,Confirmed,663.2
79397,772,Hotel Z,Aracaju (SE),4,208.04,832.16,06/02/2022,Sao Paulo (SP),Aracaju (SE),firstClass,1159.84,1.02,392.76,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79398,772,Hotel BD,Natal (RN),4,242.88,971.52,06/09/2022,Aracaju (SE),Natal (RN),premium,427.25,0.46,176.33,Rainbow,Wonka Company,none,41,Port Christopher,New Leonardmouth,Luxury,Budget,3.0,248.81,171.0,Full-to-Full,Pending,646.8
79412,772,Hotel K,Salvador (BH),2,263.41,526.82,09/15/2022,Natal (RN),Salvador (BH),premium,1315.97,1.85,710.57,Rainbow,Wonka Company,none,41,East Javier,East Amber,Hatchback,Sixt,5.0,484.28,492.0,Partial,Confirmed,893.6
79421,772,Hotel Z,Aracaju (SE),1,208.04,208.04,11/17/2022,Natal (RN),Aracaju (SE),premium,451.41,0.46,176.33,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79424,772,Hotel AU,Recife (PE),2,312.83,625.66,12/08/2022,Aracaju (SE),Recife (PE),firstClass,1088.87,1.44,555.74,FlyingDrops,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79425,772,Hotel Z,Aracaju (SE),2,208.04,416.08,12/15/2022,Sao Paulo (SP),Aracaju (SE),premium,962.54,1.02,392.76,Rainbow,Wonka Company,none,41,South Nicholas,East Norma,Hatchback,Sixt,2.0,204.82,89.0,Prepaid,Pending,271.2
79430,772,Hotel Z,Aracaju (SE),2,208.04,416.08,01/19/2023,Sao Paulo (SP),Aracaju (SE),economic,722.74,1.02,392.76,CloudFy,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79431,772,Hotel K,Salvador (BH),3,263.41,790.23,01/26/2023,Sao Paulo (SP),Salvador (BH),firstClass,1427.22,1.04,401.66,FlyingDrops,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79435,772,Hotel BW,Campo Grande (MS),3,60.39,181.17,02/23/2023,Natal (RN),Campo Grande (MS),premium,660.25,0.65,250.68,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79437,772,Hotel AF,Sao Paulo (SP),1,139.1,139.1,03/09/2023,Natal (RN),Sao Paulo (SP),firstClass,1148.78,0.85,327.55,Rainbow,Wonka Company,none,41,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79442,773,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,10/03/2019,Aracaju (SE),Rio de Janeiro (RJ),premium,1007.72,1.55,597.61,CloudFy,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79448,773,Hotel AU,Recife (PE),2,312.83,625.66,11/14/2019,Natal (RN),Recife (PE),economic,429.77,0.58,222.67,CloudFy,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79451,773,Hotel K,Salvador (BH),4,263.41,1053.64,12/05/2019,Sao Paulo (SP),Salvador (BH),economic,793.27,1.04,401.66,CloudFy,Wonka Company,female,56,Manuelfurt,East Dylan,Luxury,Sixt,5.0,477.94,288.0,Full-to-Full,Confirmed,1080.4
79454,773,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019,Sao Paulo (SP),Florianopolis (SC),premium,1367.6,1.46,562.14,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79462,773,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/20/2020,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79464,773,Hotel BW,Campo Grande (MS),4,60.39,241.56,03/05/2020,Sao Paulo (SP),Campo Grande (MS),premium,447.53,0.44,168.22,CloudFy,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79466,773,Hotel A,Florianopolis (SC),3,313.02,939.06,03/19/2020,Natal (RN),Florianopolis (SC),firstClass,1554.92,1.84,709.37,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79468,773,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/02/2020,Natal (RN),Campo Grande (MS),economic,470.16,0.65,250.68,Rainbow,Wonka Company,female,56,East Justin,Duranview,SUV,Enterprise,1.0,48.57,89.0,Prepaid,Cancelled,211.2
79469,773,Hotel AF,Sao Paulo (SP),1,139.1,139.1,04/09/2020,Natal (RN),Sao Paulo (SP),economic,583.17,0.85,327.55,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79471,773,Hotel BW,Campo Grande (MS),4,60.39,241.56,04/23/2020,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79477,773,Hotel BW,Campo Grande (MS),1,60.39,60.39,06/04/2020,Aracaju (SE),Campo Grande (MS),firstClass,1387.89,1.69,650.1,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79478,773,Hotel BP,Brasilia (DF),2,247.62,495.24,06/11/2020,Natal (RN),Brasilia (DF),economic,686.79,1.43,550.69,Rainbow,Wonka Company,female,56,North Jamesburgh,Cherylberg,Luxury,Budget,2.0,65.03,118.0,Full-to-Full,Cancelled,434.4
79483,773,Hotel BP,Brasilia (DF),4,247.62,990.48,07/16/2020,Aracaju (SE),Brasilia (DF),premium,706.36,1.11,425.98,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79484,773,Hotel K,Salvador (BH),4,263.41,1053.64,07/23/2020,Sao Paulo (SP),Salvador (BH),premium,1118.61,1.04,401.66,CloudFy,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79487,773,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,08/13/2020,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79488,773,Hotel A,Florianopolis (SC),1,313.02,313.02,08/20/2020,Natal (RN),Florianopolis (SC),premium,1212.58,1.84,709.37,Rainbow,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
79489,773,Hotel BP,Brasilia (DF),2,247.62,495.24,08/27/2020,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,Wonka Company,female,56,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0
